user,created_at,text
511nyAlbany,1/17/2020 16:11,Updated: Incident on #I787 NB at Exit 7E; NY 378 eastboun
511NY,1/17/2020 16:09,Incident on #107Bus at Newark Penn Statio
511ny456,1/17/2020 16:09,Updated: Construction on #4Line BothDir/BothDir at 183rd Street Statio
511NY,1/17/2020 16:05,Incident on #5Line from East 180th Street Station to 149th Street-3rd Avenue Statio
511NY,1/17/2020 16:05,Incident on #I495 EB from Exit 19 - Woodhaven Boulevard / Queens Boulevard to Exit 31 - Cross Island Parkwa
511ny123,1/17/2020 16:05,Incident on #1Line SB from 14th Street Station to Chambers Street Statio
511ny123,1/17/2020 16:05,Construction on #2Line SB from East 180th Street Station to 149th Street-3rd Avenue Statio
511ny456,1/17/2020 16:05,Incident on #5Line from East 180th Street Station to 149th Street-3rd Avenue Statio
511NY,1/17/2020 16:05,Construction on #2Line SB from East 180th Street Station to 149th Street-3rd Avenue Statio
511NY,1/17/2020 16:04,Updated: Construction on #NJ88 WB at CR 549 Spur/Herbertsville R
511NY,1/17/2020 16:03,Construction on #400Bus Both directions at Mt. Ephraim Avenue:Carl Miller Boulevar
511NY,1/17/2020 16:01,Updated: Construction on #NJ29 NB at North of NJ 12
511ny456,1/17/2020 16:01,Construction on #4Line Both directions from Woodlawn Station to Burnside Avenue Statio
511NY,1/17/2020 16:01,Cleared: Construction on #NJ29 NB at North of NJ 1
511NY,1/17/2020 16:01,Construction on #4Line Both directions from Woodlawn Station to Burnside Avenue Statio
511NY,1/17/2020 15:57,Updated: Incident on #RLine at Canal Street Statio
511NY,1/17/2020 15:57,Updated: Incident on #QLine at Canal Street Statio
511NY,1/17/2020 15:57,Updated: Incident on #NLine SB at Canal Street Statio
511NY,1/17/2020 15:57,Construction on #US1 SB from South of Meadow Rd to Quaker Bridge R
511NY,1/17/2020 15:56,Construction on #US1 SB from South of Meadow Rd to Quaker Bridge R
511NY,1/17/2020 15:56,Incident on #I87Northway NB at Exit 9; NY 14
511NY,1/17/2020 15:56,Cleared: Incident on #BeltSystemCrossIslandParkway SB from Exit 31E - NY 25A - Northern Boulevard to Exit 29E-29W - Grand Central Parkw
511NY,1/17/2020 15:56,Cleared: Construction on #I95N NB at 0.31 miles before Exit 85 (US 1 N
511NY,1/17/2020 15:56,Cleared: Incident on #I278 EB at Exit 33 - Mcguinness Boulevard; Humboldt Stre
511NY,1/17/2020 15:56,Cleared: Construction on #I691W WB at Exit 4 (RTE 32
511nyAlbany,1/17/2020 15:56,Incident on #I87Northway NB at Exit 9; NY 14
511NY,1/17/2020 15:55,Updated: Construction on #S72E EB at 2.20 miles before Exit 4 (WB I-84 &amp; CROOKED ST (Ex 3&amp;4)
511NY,1/17/2020 15:55,Cleared: Incident on #I87Northway SB at Twin Bridges; Town of Halfmoon; Town of Colonie Li
511NY,1/17/2020 15:55,Construction on #I691E EB at 0.36 miles beyond I691E@Star
511NY,1/17/2020 15:53,Incident on #US44 EB at Taconic State Parkwa
511NY,1/17/2020 15:52,Updated: Incident on #I684 SB at Exit 6 - NY 35 - Katonah - Cross Rive
511NY,1/17/2020 15:52,Construction on #S72E EB at S72E@Star
511NYMidHudson,1/17/2020 15:52,Updated: Incident on #I684 SB at Exit 6 - NY 35 - Katonah - Cross Rive
511NY,1/17/2020 15:51,Cleared: Incident on #SIM1C at Eltingvil
511NY,1/17/2020 15:47,Construction on #WatchogueRoad Both directions at West Willow Roa
511NY,1/17/2020 15:47,Construction on #NJ28 WB at East of CR 632/Walnut A
511NY,1/17/2020 15:46,Construction on #2Line NB from E 180th Street Station to 241st Street-Wakefield Statio
511NY,1/17/2020 15:46,Updated: Incident on #197Bus EB at Port Authority Bus Termina
511ny123,1/17/2020 15:46,Construction on #2Line NB from E 180th Street Station to 241st Street-Wakefield Statio
511NY,1/17/2020 15:46,Cleared: Incident on #I88 WB from Exit 25; NY 7 to Exit 24; US 20; NY
511NY,1/17/2020 15:44,Updated: Construction on #US206 SB at I-19
511NY,1/17/2020 15:44,Cleared: Incident on #GardenStateParkway SB at North of Exit 143C - NJ 1
511NY,1/17/2020 15:42,Incident on #GeorgeWashingtonBridge WB at New York Side/Lower Leve
511NY,1/17/2020 15:42,Incident on #197Bus EB at Port Authority Bus Termina
511NY,1/17/2020 15:41,Construction on #I676 SB from North of Exit 4 - Atlantic Ave to Exit 5 - CR 53
511NY,1/17/2020 15:41,Incident on #GeorgeWashingtonBridge WB at New York Side/Upper Leve
511NY,1/17/2020 15:41,Cleared: Incident on #I690 WB at Exit 15 - Midler Aven
511nyAlbany,1/17/2020 15:40,Incident on #I787 NB at Exit 7E; NY 378 eastboun
511nyAlbany,1/17/2020 15:35,Incident on #I87Northway SB at Twin Bridges; Town of Halfmoon; Town of Colonie Lin
511NYMidHudson,1/17/2020 15:33,Incident on #SprainBrookStateParkway SB at Exit   - Jackson Avenu
511nyBinghamton,1/17/2020 15:33,Construction on #NY17C Both directions at SR 960
511nyLongIsland,1/17/2020 15:26,Updated: Incident on #PortJeffersonBranch WB from Huntington Station to New York Penn Statio
511NYMidHudson,1/17/2020 15:21,Updated: Construction on #I84 Both directions from Exit 4 (I-84) - NY17 to Binghamton/NYC to Exit 10 (I-84) -.
511nyLongIsland,1/17/2020 15:20,Incident on #PortJeffersonBranch WB from Hicksville Station to New York Penn Statio
511ny7,1/17/2020 15:17,Construction on #7Line Queens bound from 33rd Street-Rawson Avenue Station to 69th Street Statio
511ny123,1/17/2020 15:17,Construction on #1Line NB from 215th Street Station to 238th Street Statio
511NYMidHudson,1/17/2020 15:17,Incident on #I684 SB at Exit 6 - NY 35 - Katonah - Cross Rive
511nyACE,1/17/2020 15:02,Construction on #ELine Both directions from 75th Avenue Station to Briarwood-Van Wyck Boulevard Statio
511ny123,1/17/2020 14:58,Construction on #1Line SB from 238th Street Station to 207th Street Statio
511nyJMZ,1/17/2020 14:46,Construction on #JLine Queens bound from Hewes Street Station to Flushing Avenue Statio
511nyBDFV,1/17/2020 14:46,Construction on #FLine BothDir/BothDir from Avenue I Station to Avenue P Statio
511nyJMZ,1/17/2020 14:46,Construction on #MLine Queens bound from Hewes Street Station to Flushing Avenue Statio
511nyLongIsland,1/17/2020 14:46,Construction on #NY454 WB from East Suffolk Avenue; CR 100 to Wheeler Road; Ram
511ny456,1/17/2020 14:46,Construction on #4Line BothDir/BothDir at 183rd Street Statio
