time,user,text
2/3/2020 19:38,511NY,Closure on JeffersonStreet Both directions from Main Street to Johnson Avenue 
2/3/2020 19:37,511NY,Cleared: Incident on RFKTriboroughBridge All directions
2/3/2020 19:37,511NY,Cleared: Incident on CrossBayBridge Both directions
2/3/2020 19:37,511NYC,Updated: Construction on MountReadBoulevard NB from START ROUTE  Mount Read Boulevard; Buffalo Road to Lyell...
2/3/2020 19:37,511NYC,Cleared: Incident on HenryHudsonBridge Both directions
2/3/2020 19:37,511NY,Cleared: Incident on MarineParkwayBridge Both directions
2/3/2020 19:37,511NY,Cleared: Incident on VerrazanonarrowsBridge Both directions
2/3/2020 19:37,511NY,Cleared: Incident on BronxwhitestoneBridge Both directions
2/3/2020 19:37,511NY,Cleared: Incident on QueensMidtownTunnel Both directions
2/3/2020 19:37,511NY,Cleared: Incident on ThrogsNeckBridge Both directions
2/3/2020 19:37,511nyAlbany,Cleared: Incident on BrooklynBatteryTunnel Both directions
2/3/2020 19:37,511NY,Cleared: Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube
2/3/2020 19:37,511NY,Cleared: Construction on QueensMidtownTunnel Both directions
2/3/2020 19:37,511NYC,Cleared: Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube
2/3/2020 19:37,511NYC,Cleared: Construction on QueensboroBridge EB at Manhattan/Queens Bound
2/3/2020 15:51,511NY,Cleared: Incident Unknown
2/3/2020 14:40,511NY,Incident Unknown at South Erie 
2/3/2020 0:03,511NYC,Incident on QueensMidtownTunnel Both directions 
2/3/2020 0:03,511NY,Incident on BrooklynBatteryTunnel Both directions 
2/3/2020 0:03,511NY,Incident on ThrogsNeckBridge Both directions 
2/3/2020 0:03,511NY,Cleared: Closure on FranklinStreet from Church Avenue to Broadway
2/3/2020 0:03,511NY,Incident on RFKTriboroughBridge All directions 
2/3/2020 0:03,511NY,Incident on BronxwhitestoneBridge Both directions 
2/3/2020 0:03,511NYC,Incident on VerrazanonarrowsBridge Both directions 
2/3/2020 0:03,511NYC,Incident on MarineParkwayBridge Both directions 
2/3/2020 0:03,511NY,Incident on CrossBayBridge Both directions 
2/3/2020 0:03,511NY,Incident on HenryHudsonBridge Both directions 
2/2/2020 5:15,511NYMidHudson,Cleared: Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal
2/2/2020 5:07,511NYC,Updated: Construction on Systemwide Both directions from New Hyde Park to Hicksville 
2/2/2020 5:06,511NYC,Construction on Systemwide Both directions from New Hyde Park to Hicksville 
2/2/2020 5:05,511NYC,Cleared: Construction on Systemwide Both directions from New Hyde Park to Hicksville
2/2/2020 5:00,511nyAlbany,Updated: Construction on Systemwide Both directions from New Hyde Park to Hicksville 
2/2/2020 3:59,511NY,Incident on QueensMidtownTunnel Both directions 
2/2/2020 3:58,511NY,Incident on VerrazanonarrowsBridge Both directions 
2/2/2020 3:58,511NYMidHudson,Incident on HenryHudsonBridge Both directions 
2/2/2020 3:58,511NY,Incident on ThrogsNeckBridge Both directions 
2/2/2020 3:58,511NY,Incident on RFKTriboroughBridge All directions 
2/2/2020 3:58,511NY,Incident on MarineParkwayBridge Both directions 
2/2/2020 3:57,511NY,Incident on BronxwhitestoneBridge Both directions 
2/2/2020 3:57,511NYC,Incident on CrossBayBridge Both directions 
2/2/2020 3:57,511NY,Incident on BrooklynBatteryTunnel Both directions 
2/2/2020 3:01,511NY,Updated: Special Event on PrudentialCenterROCK
2/2/2020 2:58,511NY,Cleared: Special Event on PrudentialCenterROCK
2/2/2020 2:53,511NY,Closure on QueensboroBridge EB from Manhattan Side to Queens Side
2/2/2020 2:26,511NY,Closure on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza
2/2/2020 21:50,511NY,Cleared: Incident on VerrazanonarrowsBridge at Brooklyn Bound Upper Level
2/2/2020 21:14,511NYC,Cleared: Construction on PortNewarkElizabethMarineTerminal
2/2/2020 21:14,511NYC,Updated: Construction on PortNewarkElizabethMarineTerminal 
2/2/2020 21:14,511NY,Incident on VerrazanonarrowsBridge at Brooklyn Bound Upper Level 
2/2/2020 19:50,511NY,Cleared: Incident on SprainBrookStateParkway SB at Bradhurst Avenue; Ramp
2/2/2020 19:39,511NY,Cleared: Incident on CrossBayBridge Both directions
2/2/2020 19:39,511NY,Cleared: Incident on BrooklynBatteryTunnel Both directions
2/2/2020 19:39,511NY,Cleared: Incident on BronxwhitestoneBridge Both directions
2/2/2020 19:39,511NY,Cleared: Incident on HenryHudsonBridge Both directions
2/2/2020 19:39,511NY,Cleared: Incident on MarineParkwayBridge Both directions
2/2/2020 19:39,511NY,Cleared: Incident on VerrazanonarrowsBridge Both directions
2/2/2020 19:38,511nyLongIsland,Cleared: Incident on RFKTriboroughBridge All directions
2/2/2020 19:38,511NY,Cleared: Incident on QueensMidtownTunnel Both directions
2/2/2020 19:38,511NYC,Cleared: Incident on ThrogsNeckBridge Both directions
2/2/2020 19:37,511NY,Incident on SprainBrookStateParkway SB at Bradhurst Avenue; Ramp 
2/2/2020 18:45,511NYC,Cleared: Incident on JervisLine
2/2/2020 18:45,511NY,Cleared: Incident on PortLine
2/2/2020 18:05,511NY,Updated: Incident on JervisLine 
2/2/2020 18:05,511NYMidHudson,Updated: Incident on PortLine 
2/2/2020 17:48,511NY,Cleared: Incident Unknown
2/2/2020 17:09,511nyACE,Incident Unknown at South Erie 
2/2/2020 17:02,511NY,Cleared: Construction on BlossomRoad EB from Landing Road  North to Browncroft Boulevard
2/2/2020 15:51,511nyLS,Cleared: Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level
2/2/2020 15:47,511NYC,Updated: Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level 
2/2/2020 15:46,511NYC,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level 
2/2/2020 15:16,511NY,Cleared: Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level
2/2/2020 15:01,511NY,Updated: Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level 
2/2/2020 14:34,511NY,Cleared: Incident on GoethalsBridge WB at New Jersey Turnpike
2/2/2020 14:29,511NY,Updated: Incident on GoethalsBridge WB at New Jersey Turnpike 
2/2/2020 14:29,511NY,Cleared: Incident on BeltSystemSouthernParkway WB at Lefferts Boulevard
2/2/2020 14:24,511NY,Incident on BeltSystemSouthernParkway WB at Lefferts Boulevard 
2/2/2020 14:16,511NY,Cleared: Construction on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza
2/2/2020 14:09,511NY,Incident on GoethalsBridge WB at New Jersey Turnpike 
2/2/2020 14:02,511NY,Construction on BlossomRoad EB from Landing Road  North to Browncroft Boulevard 
2/2/2020 14:01,511NYC,Updated: Construction on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza 
